id	created_at	retweet_count	text	user_id	user_name	user_screen_name	user_followers_count	user_listed_count	user_statuses_count	user_friends_count	user_favourites_count	user_location	user_desc	user_created_at	retweeted_status_id	retweeted_status_created_at	retweeted_status_retweet_count	retweeted_status_text	retweeted_status_user_id
937015411882758144	2017-12-02 17:47:37	0	RT @simondenyer: Culture is the soul of the nation, but is the Communist Party suffocating Chinese culture? https://t.co/ZNooql8HuT	292937657	Sarah Williams	VOAWilliams	1693	58	23604	441	918	Washington, D.C.	I'm a host of International Edition on the Voice of America.	2011-05-04 13:53:42	936627205500628992	2017-12-01 16:05:02	4	Culture is the soul of the nation, but is the Communist Party suffocating Chinese culture? https://t.co/ZNooql8HuT	39778096	
936545377032925184	2017-12-01 10:39:52	0	RT @TaiwanNews886: Photo of the Day: #Rainbow lasts for 7 hours over Chinese Culture University https://t.co/DlZhTO42Ha https://t.co/xIqi2R	928864701735321600	xiao huang |  	NotAXiaoHuang	9	0	54	59	46		call me huang   taiwanese & american  she/her  aspiring/suffering writer  stressed high school senior  	2017-11-10 05:59:37	936522944791973888	2017-12-01 09:10:44	3	Photo of the Day: #Rainbow lasts for 7 hours over Chinese Culture University https://t.co/DlZhTO42Ha https://t.co/xIqi2RIbnl	3048930572	
936506516596592640	2017-12-01 08:05:27	0	@CGTNOfficial i'm happy that she likes Chinese culture and China  so am i 	435882116	alexander siow	askw88	851	5	6276	1382	3	United States	Addicted to video game. A big fan of WWE and English Football.	2011-12-13 15:04:43						
936632379245961217	2017-12-01 16:25:35	0	RT @simondenyer: Culture is the soul of the nation, but is the Communist Party suffocating Chinese culture? https://t.co/ZNooql8HuT	34341129	Casey Green	KCGreen17	357	3	36825	1739	118118		My biggest fear right now is that I'll wake up and this conversation won't be a dream. - Daria M.	2009-04-22 17:48:46	936627205500628992	2017-12-01 16:05:02	2	Culture is the soul of the nation, but is the Communist Party suffocating Chinese culture? https://t.co/ZNooql8HuT	39778096	
937259651099267074	2017-12-03 09:58:08	0	[Trivia] Like the rest of her team, Tenten's character seems to draw inspiration from Chinese culture.	1313150640	 1010	Tenten_NIRP	90	2	81331	23	27		{ [V] #RP @NarutoIndo_RP }  9March #TeamGuy #NIRPFamily	2013-03-29 09:14:57						
937255825361555457	2017-12-03 09:42:56	0	RT @simondenyer: Culture is the soul of the nation, but is the Communist Party suffocating Chinese culture? https://t.co/ZNooql8HuT	18525497	Glyn Moody	glynmoody	20825	2522	310933	301	10	London	writer (Rebel Code), journalist, blogger. on openness, the commons, copyright, patents and digital rights. 4C64 8E28 6B99 A31B C5EA 2AC0 AE6B B4D3 4AD5 5361	2009-01-01 07:58:29	936627205500628992	2017-12-01 16:05:02	6	Culture is the soul of the nation, but is the Communist Party suffocating Chinese culture? https://t.co/ZNooql8HuT	39778096	
939476989911580672	2017-12-09 12:49:03	0	Chinese culture is a sickness that will ruin the world, they beating children, love bargain people with no reason, https://t.co/3Xpmi9tXLg	571710555	westoros world	freemanthinker	166	12	14244	466	9098		this is me and it how is me and who I am and will continue live my life without what others want me to be	2012-05-05 10:15:53						
939781471274926080	2017-12-10 08:58:57	0	The young nationalists reviving traditional Chinese culture https://t.co/GpDEmWYhWX	931971605009436673	City2City.World	City2cityW	10	0	8834	28	3	Bavaria, Germany	Anziehende hochwertige Qualittsware, inklusive stilvollem Stadt Logo.  Attractive high-quality products, including a stylish city logo.	2017-11-18 19:45:20						
939805131700400128	2017-12-10 10:32:58	0	The young nationalists reviving traditional Chinese culture https://t.co/OmOHD8hxZI	891660948821479424	China Newz	China__Newz	6846	31	20173	1999	0	Global	The latest news of interest about #China in one place!	2017-07-30 14:05:11						
938950524031963137	2017-12-08 01:57:04	0	RT @SeulOnFire: Mind you that in Chinese culture   520 means I love you  170520?  https://t.co/kifjSMEouM	712902204101955585	SeulRenewed	seulrenewed	1460	16	30042	272	11372	 	       GIF          	2016-03-24 07:21:45	938949415472996353	2017-12-08 01:52:40	1	Mind you that in Chinese culture   520 means I love you  170520?  https://t.co/kifjSMEouM	879649746951913473	
